SS3
---

-----------------------------------------
Data Format 1: Time-between-failures data
(time unit in miliseconds)
-----------------------------------------
Column1: Failure Number
Column2: Time-To-Failure
-----------------------------------------

1	107400
2	17220
3	180
4	32880
5	960
6	26100
7	44160
8	333720
9	17820
10	40860
11	18780
12	960
13	960
14	79860
15	240
16	120
17	1800
18	480
19	780
20	37260
21	2100
22	72060
23	258704
24	480
25	21900
26	478620
27	80760
28	1200
29	80700
30	688860
31	2220
32	758880
33	166620
34	8280
35	951354
36	1320
37	14700
38	3420
39	2520
40	162480
41	520320
42	96720
43	418200
44	434760
45	543780
46	8820
47	488280
48	480
49	540
50	2220
51	1080
52	137340
53	91860
54	22800
55	22920
56	473340
57	354901
58	369480
59	380220
60	848640
61	120
62	3416
63	74160
64	262500
65	879300
66	360
67	8160
68	180
69	237920
70	120
71	70800
72	12960
73	300
74	120
75	558540
76	188040
77	56280
78	420
79	414464
80	240780
81	206640
82	4740
83	10140
84	300
85	4140
86	472080
87	300
88	87600
89	48240
90	41940
91	576612
92	71820
93	83100
94	900
95	240300
96	73740
97	169800
98	1
99	302280
100	3360
101	2340
102	82260
103	559920
104	780
105	10740
106	180
107	430860
108	166740
109	600
110	376140
111	5100
112	549540
113	540
114	900
115	521252
116	420
117	518640
118	1020
119	4140
120	480
121	180
122	600
123	53760
124	82440
125	180
126	273000
127	59880
128	840
129	7140
130	76320
131	148680
132	237840
133	4560
134	1920
135	16860
136	77040
137	74760
138	738180
139	147000
140	76680
141	70800
142	66180
143	27540
144	55020
145	120
146	296796
147	90180
148	724560
149	167100
150	106200
151	480
152	117360
153	6480
154	60
155	97860
156	398580
157	391380
158	180
159	180
160	240
161	540
162	336900
163	264480
164	847080
165	26460
166	349320
167	4080
168	64680
169	840
170	540
171	589980
172	332280
173	94140
174	240060
175	2700
176	900
177	1080
178	11580
179	2160
180	192720
181	87840
182	84360
183	378120
184	58500
185	83880
186	158640
187	660
188	3180
189	1560
190	3180
191	5700
192	226560
193	9840
194	69060
195	68880
196	65460
197	402900
198	75480
199	380220
200	704968
201	505680
202	54420
203	319020
204	95220
205	5100
206	6240
207	49440
208	420
209	667320
210	120
211	7200
212	68940
213	26820
214	448620
215	339420
216	480
217	1042680
218	779580
219	8040
220	1158240
221	907140
222	58500
223	383940
224	2039460
225	522240
226	66000
227	43500
228	2040
229	600
230	226320
231	327600
232	201300
233	226980
234	553440
235	1020
236	960
237	512760
238	819240
239	801660
240	160380
241	71640
242	363990
243	9090
244	227970
245	17190
246	597900
247	689400
248	11520
249	23850
250	75870
251	123030
252	26010
253	75240
254	68130
255	811050
256	498360
257	623280
258	3330
259	7290
260	47160
261	1328400
262	109800
263	343890
264	1615860
265	14940
266	680760
267	26220
268	376110
269	181890
270	64320
271	468180
272	1568580
273	333720
274	180
275	810
276	322110
277	21960
278	363600

