CSR1
----

-----------------------------------------
Data Format 1: Time-between-failures data
-----------------------------------------
Column1: Failure Number
Column2: Time-To-Failure
-----------------------------------------

1	60
2	30
3	540
4	67
5	40
6	23
7	5
8	53
9	4
10	16
11	94
12	15
13	5
14	90
15	77
16	68
17	15
18	137
19	23
20	1
21	104
22	16
23	9
24	10
25	12
26	4
27	10
28	82
29	6
30	54
31	25
32	43
33	12
34	48
35	23
36	6
37	10
38	12
39	14
40	33
41	9
42	4
43	66
44	0.5
45	18
46	15
47	75
48	30
49	116
50	14
51	15
52	41
53	1
54	99
55	9
56	45
57	68
58	36
59	50
60	81
61	89
62	85
63	54
64	3
65	15
66	6
67	8
68	36
69	98
70	32
71	36
72	5
73	9
74	60
75	34
76	16
77	164
78	123
79	19
80	19
81	126
82	36
83	54
84	15
85	16
86	154
87	84
88	92
89	247
90	244
91	60
92	5
93	2
94	5
95	130
96	0.5
97	233
98	50
99	54
100	52
101	57
102	1
103	2
104	5
105	1
106	17
107	14
108	2
109	87
110	19
111	29
112	0.5
113	61
114	118
115	20
116	3
117	11
118	87
119	5
120	249
121	28
122	44
123	31
124	3
125	10
126	3
127	8
128	17
129	3
130	55
131	7
132	12
133	6
134	4
135	169
136	30
137	4
138	38
139	7
140	4
141	4
142	13
143	10
144	40
145	57
146	22
147	37
148	127
149	12
150	8
151	1
152	21
153	104
154	8
155	23
156	1
157	6
158	141
159	3
160	21
161	3
162	18
163	0.5
164	75
165	92
166	39
167	29
168	3
169	2
170	158
171	30
172	24
173	5
174	92
175	7
176	33
177	20
178	16
179	292
180	3
181	9
182	12
183	18
184	9
185	75
186	15
187	46
188	9
189	94
190	25
191	175
192	5
193	12
194	18
195	70
196	3
197	10
198	114
199	213
200	212
201	4
202	5
203	106
204	264
205	269
206	276
207	1
208	203
209	117
210	1
211	45
212	5
213	110
214	18
215	10
216	179
217	66
218	1
219	106
220	2
221	19
222	117
223	30
224	130
225	31
226	28
227	4
228	302
229	362
230	5
231	63
232	42
233	86
234	258
235	294
236	256
237	118
238	13
239	47
240	92
241	343
242	128
243	392
244	90
245	116
246	35
247	171
248	139
249	110
250	98
251	60
252	90
253	82
254	5
255	30
256	35
257	231
258	62
259	158
260	1622
261	353
262	33
263	70
264	35
265	116
266	809
267	1710
268	745
269	350
270	470
271	122
272	244
273	2384
274	249
275	607
276	83
277	2
278	26
279	586
280	352
281	673
282	330
283	649
284	123
285	1789
286	1288
287	111
288	75
289	74
290	333
291	287
292	1
293	881
294	13
295	1314
296	472
297	363
298	6
299	4
300	55
301	409
302	36
303	15
304	1404
305	17
306	71
307	34
308	434
309	60
310	19
311	20
312	79
313	24
314	540
315	1040
316	38
317	78
318	41
319	1757
320	205
321	2095
322	788
323	1
324	2668
325	470
326	10
327	20
328	338
329	222
330	28
331	56
332	561
333	65
334	100
335	900
336	212
337	287
338	53
339	3
340	4973
341	197
342	1174
343	783
344	1346
345	59
346	98
347	1594
348	25
349	98
350	722
351	228
352	78
353	33
354	453
355	1020
356	4327
357	925
358	302
359	649
360	43
361	185
362	157
363	30
364	1771
365	1088
366	556
367	55
368	4892
369	81
370	61
371	476
372	63
373	3
374	3
375	62
376	1
377	44
378	1236
379	1406
380	109
381	1471
382	1797
383	1749
384	2096
385	76
386	2167
387	2059
388	2177
389	1893
390	198
391	3326
392	3100
393	586
394	2686
395	124
396	229
397	1008

